repeat_index,seed,max_iterations,completion_step,initial_motor_step_error,final_motor_step_error,motor_step_improvement,success_within_500_steps,cost_dollars,run_wall_time_seconds,motor_configurations_seen,llm_responses,method_key,method_label,method_kind
2,20280664,50,10,1979.1071219112926,168.04761230080004,1811.0595096104926,True,0.25175535,129.2072602910921,10,10,gemini_3_5_flash,Gemini 3.5 Flash,llm
3,20290637,50,11,2313.4757400932476,2313.4757400932476,0.0,False,0.14540894999999998,76.21918054111302,11,11,gemini_3_5_flash,Gemini 3.5 Flash,llm
4,20300610,50,13,3626.1683634381898,6158.230021686426,-2532.061658248236,False,0.22906844999999995,116.09381279163063,13,13,gemini_3_5_flash,Gemini 3.5 Flash,llm
5,20310583,50,9,2132.6312386345653,150.05332385522155,1982.5779147793437,True,0.15541995000000003,79.07403520913795,9,9,gemini_3_5_flash,Gemini 3.5 Flash,llm
6,20320556,50,9,3185.50780881165,108.25894882179486,3077.248859989855,True,0.22456155,109.28260254114866,9,9,gemini_3_5_flash,Gemini 3.5 Flash,llm
7,20330529,50,10,1843.9023835333583,590.7122819105762,1253.190101622782,False,0.2645022,140.607104124967,10,10,gemini_3_5_flash,Gemini 3.5 Flash,llm
8,20340502,50,13,2943.0304109879667,262.9220416777566,2680.10836931021,True,0.21926340000000002,102.02421545796096,13,13,gemini_3_5_flash,Gemini 3.5 Flash,llm
9,20350475,50,10,4095.0877890467746,606.4189970639112,3488.6687919828632,False,0.20697765,98.03001608280465,10,10,gemini_3_5_flash,Gemini 3.5 Flash,llm
0,20260718,50,8,2186.2005854907275,2186.2005854907275,0.0,False,0.005610384,61.53080812469125,8,8,qwen3_vl_32b_instruct,Qwen3-VL-32B-Instruct,llm
1,20270691,50,14,3375.000148148145,5635.913856687307,-2260.913708539162,False,0.01695616,162.1544366250746,14,14,qwen3_vl_32b_instruct,Qwen3-VL-32B-Instruct,llm
2,20280664,50,4,1979.1071219112926,1979.1071219112926,0.0,False,0.0018763680000000002,28.615923958830535,4,4,qwen3_vl_32b_instruct,Qwen3-VL-32B-Instruct,llm
3,20290637,50,5,2313.4757400932476,2313.4757400932476,0.0,False,0.00268164,39.95659304223955,5,5,qwen3_vl_32b_instruct,Qwen3-VL-32B-Instruct,llm
4,20300610,50,13,3626.1683634381898,640.2507321354658,2985.9176313027237,False,0.013970528000000001,183.3356747077778,13,13,qwen3_vl_32b_instruct,Qwen3-VL-32B-Instruct,llm
5,20310583,50,5,2132.6312386345653,2132.6312386345653,0.0,False,0.0026754,52.775687207933515,5,5,qwen3_vl_32b_instruct,Qwen3-VL-32B-Instruct,llm
6,20320556,50,5,3185.50780881165,3185.50780881165,0.0,False,0.002669056,46.42398645775393,5,5,qwen3_vl_32b_instruct,Qwen3-VL-32B-Instruct,llm
7,20330529,50,18,1843.9023835333583,1843.9023835333583,0.0,False,0.022326303999999998,156.79599416675046,18,18,qwen3_vl_32b_instruct,Qwen3-VL-32B-Instruct,llm
8,20340502,50,11,2943.0304109879667,6440.29719811128,-3497.266787123313,False,0.009787960000000002,83.49802445806563,11,11,qwen3_vl_32b_instruct,Qwen3-VL-32B-Instruct,llm
9,20350475,50,31,4095.0877890467746,7700.6952932835875,-3605.607504236813,False,0.07045844,358.82655966700986,31,31,qwen3_vl_32b_instruct,Qwen3-VL-32B-Instruct,llm
0,20260718,50,50,2186.2005854907275,15.524174696260024,2170.6764107944673,True,,9.25264070898993,51,,bayes,Bayesian optimization,oracle
1,20270691,50,50,3375.000148148145,36.61966684720111,3338.3804813009438,True,,9.828120874997694,51,,bayes,Bayesian optimization,oracle
2,20280664,50,50,1979.1071219112926,18.439088914585774,1960.6680329967069,True,,8.845762915967498,51,,bayes,Bayesian optimization,oracle
3,20290637,50,50,2313.4757400932476,34.0147027033899,2279.4610373898577,True,,8.849268542020582,51,,bayes,Bayesian optimization,oracle
4,20300610,50,50,3626.1683634381898,21.95449840010015,3604.21386503809,True,,9.600762417016085,51,,bayes,Bayesian optimization,oracle
5,20310583,50,50,2132.6312386345653,30.675723300355934,2101.9555153342094,True,,8.742865292006172,51,,bayes,Bayesian optimization,oracle
6,20320556,50,50,3185.50780881165,23.194827009486403,3162.312981802164,True,,8.63212487497367,51,,bayes,Bayesian optimization,oracle
7,20330529,50,50,1843.9023835333583,39.698866482558415,1804.2035170507997,True,,8.642850707983598,51,,bayes,Bayesian optimization,oracle
8,20340502,50,50,2943.0304109879667,10.04987562112089,2932.9805353668457,True,,8.666098665969912,51,,bayes,Bayesian optimization,oracle
9,20350475,50,50,4095.0877890467746,40.80441152620633,4054.283377520568,True,,8.65856333298143,51,,bayes,Bayesian optimization,oracle
0,20260718,50,50,2186.2005854907275,588.8633118135311,1597.3372736771962,False,,1.1649442501366138,51,,random,Random search,oracle
1,20270691,50,50,3375.000148148145,466.3142717095414,2908.6858764386034,True,,1.0438707079738379,51,,random,Random search,oracle
2,20280664,50,50,1979.1071219112926,1730.8061705459684,248.30095136532418,False,,1.0127638326957822,51,,random,Random search,oracle
3,20290637,50,50,2313.4757400932476,1217.01479037849,1096.4609497147576,False,,1.0405703750438988,51,,random,Random search,oracle
4,20300610,50,50,3626.1683634381898,751.0026631111238,2875.165700327066,False,,1.0484461253508925,51,,random,Random search,oracle
5,20310583,50,50,2132.6312386345653,513.3751065254334,1619.256132109132,False,,1.0493455408141017,51,,random,Random search,oracle
6,20320556,50,50,3185.50780881165,466.2038180881834,2719.303990723467,True,,1.007127083837986,51,,random,Random search,oracle
7,20330529,50,50,1843.9023835333583,679.8955802180215,1164.0068033153368,False,,1.0075972909107804,51,,random,Random search,oracle
8,20340502,50,50,2943.0304109879667,1470.4155875125916,1472.614823475375,False,,1.010641333181411,51,,random,Random search,oracle
9,20350475,50,50,4095.0877890467746,1262.1283611423999,2832.959427904375,False,,1.001849208958447,51,,random,Random search,oracle
